iter	Passed	Remaining
806	1464	350
807	1465	348
808	1467	346
809	1468	344
810	1470	342
811	1471	340
812	1472	338
813	1473	336
814	1474	334
815	1475	332
816	1477	330
817	1478	328
818	1479	326
819	1480	325
820	1482	323
821	1483	321
822	1485	319
823	1486	317
824	1487	315
825	1489	313
826	1490	311
827	1491	309
828	1493	307
829	1494	306
830	1496	304
831	1497	302
832	1499	300
833	1503	299
834	1506	297
835	1507	295
836	1509	294
837	1511	292
838	1512	290
839	1515	288
840	1516	286
841	1518	284
842	1519	283
843	1521	281
844	1522	279
845	1523	277
846	1525	275
847	1526	273
848	1528	271
849	1529	269
850	1530	268
851	1532	266
852	1533	264
853	1535	262
854	1536	260
855	1537	258
856	1538	256
857	1540	254
858	1541	253
859	1543	251
860	1544	249
861	1546	247
862	1547	245
863	1551	244
864	1553	242
865	1554	240
866	1555	238
867	1557	236
868	1558	234
869	1560	233
870	1562	231
871	1566	230
872	1568	228
873	1570	226
874	1571	224
875	1573	222
876	1576	221
877	1577	219
878	1579	217
879	1580	215
880	1582	213
881	1583	211
882	1584	209
883	1585	208
884	1587	206
885	1588	204
886	1589	202
887	1591	200
888	1592	198
889	1593	196
890	1595	195
891	1596	193
892	1599	191
893	1602	189
894	1603	188
895	1604	186
896	1606	184
897	1607	182
898	1609	180
899	1611	179
900	1613	177
901	1614	175
902	1615	173
903	1617	171
904	1618	169
905	1620	168
906	1621	166
907	1622	164
908	1624	162
909	1625	160
910	1626	158
911	1627	157
912	1628	155
913	1630	153
914	1631	151
915	1632	149
916	1633	147
917	1635	146
918	1636	144
919	1637	142
920	1639	140
921	1640	138
922	1641	136
923	1642	135
924	1645	133
925	1646	131
926	1648	129
927	1649	127
928	1650	126
929	1652	124
930	1653	122
931	1654	120
932	1655	118
933	1657	117
934	1658	115
935	1659	113
936	1661	111
937	1662	109
938	1664	108
939	1665	106
940	1666	104
941	1667	102
942	1668	100
943	1670	99
944	1671	97
945	1672	95
946	1673	93
947	1675	91
948	1676	90
949	1677	88
950	1679	86
951	1680	84
952	1681	82
953	1682	81
954	1683	79
955	1685	77
956	1686	75
957	1687	73
958	1688	72
959	1690	70
960	1691	68
961	1692	66
962	1693	65
963	1694	63
964	1695	61
965	1696	59
966	1697	57
967	1699	56
968	1700	54
969	1701	52
970	1703	50
971	1704	49
972	1705	47
973	1706	45
974	1707	43
975	1708	42
976	1709	40
977	1711	38
978	1712	36
979	1713	34
980	1715	33
981	1716	31
982	1717	29
983	1718	27
984	1720	26
985	1721	24
986	1722	22
987	1724	20
988	1725	19
989	1726	17
990	1728	15
991	1729	13
992	1730	12
993	1731	10
994	1732	8
995	1734	6
996	1735	5
997	1736	3
998	1737	1
999	1738	0
